Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
ماما اجريي عم يوجعوني كتير,هلق باخدك عند الحكيم,ماما رجلي بتوجعني جامد,دلوقتي هاخدك للدكتور,مين السيدة العجوز اللي تقلم الأشجار؟,هذي جدتي.
مرتي كتير شاطرة بالطبخ. مبارع عملتلي معكرونة كتير طيبة,بس اكيد مش اشطر من مرتي. تعلمت الطبخ عند شيف عالمي,مراتي شاطرة جدا في الطبخ. امبارح عملتلي مكرونة حلوة جدا,بس اكيد مش اشطر من مراتي. اتعلمت الطبخ عند شيف عالمي,"أمي، رجولي تقتلني.","انتظر، هنصير ناجحين فوراً."
مبارح تععشيت عشى كتير طيب يا لطيف,صحتين و هنا على قلبك,امبارح اتعشيت عشا طيب اوي يا لطيف,بالهنا و الشفا,يا رِجَّال أمس أكلت أحلى عشا. زوجتي سوت أكل مقلي مرَّة جامد.,"أنا أحب الخضار المقلية والمقرمشة واللي معهاها صلصة صويا وصلصة محار. الخضار والفاصوليا الفرش. ولو معاها شوية بصل وثوم وزنجبيل! يلبيه! وقت الغدا قرب، نفسي في أكل مقلي الحين. "
اليوم حلو كتير الطقس شو رأيك نروح نتمشى ؟,والله ما قادرة تعبانة كتير,الجو النهردة حلو ايه رأيك نروح نتمشى ؟,ولله مش قادرة تاعبانة اوي,إيش قلت؟,قلت اليوم حلو. ليش ما نروح نتمشى؟
في حدا سرقلي جزداني,لازم نتصل بالشرطة,في حد سرقلي شنتطي,لازم نتصل بالشرطة,الحمد لله أنك جيت! هذا مجنون. نتصل على الشرطة؟,"ما عليك، هتصل على خويي وهيتصرف. مو مصدق أنه كان يلحقك طول السنين هذي. مرَّة مجنون."
فيي احكي معك بموضوع شخصي شوي ؟,ماشي بس ما معي وقت كتير,ممكن اكلمك في موضوع شخصي شوية ؟,ماشي بس معيش وقت كتير,"يا سلوى، ممكن أتكلم معاكي في موضوع شخصي؟",لو مو مطول أحكي.
يلا يا زلمي عجل لح يروح علينا الباص,عطيني بس دقيقتين و بكون خلصت,يلا يا راجل انجز حيفوتنا الباص,اديني بس دقيقتين و اكون خلصت,"يا مريم، كيف كان موعدك مع يحيى؟","كان كويس، عندنا حاجات مشتركة كثير."
كيف كانت ضهرتك مبارح ؟,منيحة بس انتزعت السيارة بنص الطريق,ايه اخبار خروجة امبارح ؟,كويسة بس عطلت العربية في نص الطريق,"هلا فارس، كيف كانت رحلة شغلك؟",كانت كابوس.
عندك سفرة شغل ؟,ايه رايح على فرنسا يومين,عندك سفرية شغل ؟,اه رايح على فرنسا يومين,يعني الشركة قررت تلغي رحلتك لهونغ كونغ؟,"إيوة، وباء السارس خارج السيطرة حالياً. فأحسن لي ما أخاطر."
سمعت انو في فيروس جديد اسمو كورونا ؟,ايه سمعت في الله يجيرنا,سمعت انو في فيروس جديد اسمو كورونا ؟,اه سمعت الله ينقذنا,أيت سروال جينز تشوفه أحسن؟,أنا عاجبني السروال المستقيم.
شو رأيك ببنطلوني الجديد ؟,عحبني حلو بس كأنو ضيق شوي,ايه رأيك في بنطلوني الجديد ؟,عجبني حلو بس كأنو ضيق شوية,"هلا قاسم، إيش المشكلة؟",سيارتي ما تشتغل. منتظر شاحنة السحب.
بدك وصلك على البيت ؟ معي سيارة,شكرا حبيبي ما بدي عزبك هلق باخد سرفيس,عايزني اوصلك على البيت ؟ معايا عربية,شكرا حبيبي مش عايز اتعبك حاخد تاكسي,ذكرى سنوية سعيدة يا حبيبي!,"لأول ذكرة سنوية ولكل المرات الجاية، نخبك."
ينعاد عليكي يا حلوة,شكرا كلك زوق,كل سنة و انت طيبة يا حلوة,شكرا كلك زوق,إيش تخطط تسوي ليوم ميلادك؟,أبغى أطلع نزهة مع أصحابي يا أمي.
زايد وزني منيح عن هيديك السنة,برأي بلش بالديت من هلق,زايد وزني جامد عن السنة الي فاتت,في رأي ابدا دايت من دلوقتي,إيش رايك براوند ثاني يا فيصل؟,"لا شكراً، أنا امتليت خلاص."
ما عم لاقي دفتري ضاع,فتش منيح بتكون مدري وين حاطو,مش لاقي كرستي ضاعت,دور كويس معرفش حتكون حطه فين,إيش رايك تتعشى معاي اليوم؟,هحب انضم لك.
شو بدك تعمل على عيد ميلادك ؟,ماشي ضاهر شوي مع رفقاتي,عايز تعمل ايه في عيد ميلادك,ماشي خارج شوية مع صحابي,تبغى سيجارة؟,اه...شكراً. يا هاني معاك ولاعة؟
تتعشي معي الليلة ؟,ايه اكيد. اي ساعة بدك ؟,تتعشي معي انهردة ؟,اه اكيد. عالساعة كام؟,"هلا رنا، أنتي مشغولة مع مين الحين؟","هلا جاسم، قاعدة اشتغل على المستندات هذي. المدير يبغاهم بعد نص ساعة."
تدخن سجارة معي ؟,لا يسلمو ما بدخن أنا,تشرب سجارة معايا ؟,لا تسلم مابدخنش,كيف تلعب بيلياردو؟,"عندك 16 كورة على الطاولة، 7 كور لون سادة و7 كور لون مخطط وكورة سودا وكورة بيضا."
بشو مشغول هلق ؟,عندي اشيا المدير بدوياني خلصها اليوم,مشغول في ايه دلوقتي ؟,عندي حاجات المدير عايزني اخلصها انهردة,إيش رايك نروح نسمع مغني ريفي غربي اليوم؟,حبيت الفكرة.
بتحب تسمع أغاني فيروز ؟,في حدا ما بحب يسمعن ؟,بتحب تسمع أغاني فيروز ؟,في حد مابيحبش يسمعهم ؟,البعوض بيعضني!,"حتى أنا، ما أقدر أبطل أحك. موجودين في كل مكان! الوسخين الصغار."
عقصني البرغش بالليل,تص عليهن سبيرتو,قرصتني ناموسة بليل,رش عليهم سبرتو,تقدر تبطل جري قدام التلفزون؟ ليش ما تشوف وأنت جالس؟,حاولت اسوي كده بس ما أقدر أتحمل الرجال الأصلع وهو يتكلم بصوت عالي.
حاش تروح و تجي دوختني,عم فتش عالريموت مضري وين محطوطة,بطل تروح و تيجي دوختني,بدور على الريموت مش عارف حطه فين,"طيب، أقدر أسألك سؤال مباشر؟",هاها! تتكلم كأنك أنت اللي دايماً تعطي أجوبة مباشرة.
حاج تلف و تدور خلصني و قلي شو بدك,خلص غيرت رأي ما بقا بدي,بطل تلف و تدور قلي عايز ايه,خلاص غيرت رأي مبقتش عايز,بنتي تخطط تسيب شغلها الحالي وتدور واحد جديد. تقول أنها تبغى شغل أحسن براتب أعلى.,شي طبيعي. تقريباً نفس الشي اللي أبغى اسويه.
ما تواخذني بس صار لازم روح,ولا يهمك انتبه على حالك,لا مؤاخذة بس لازم امشي,ولا يهمك خد بالك من نفسك,"عفواً لو سمحت، بس أنا لازم أروح.","نعم، أكيد. كانت مقابلة حلوة."
هيدا المقعد فاضي ؟,ايه فاضي فيك تقعد,الكرسي ده فاضي ؟,اه فاضي ممكن تقعد,"لو سمحت، الكرسي ذا محجوز؟",نعم للأسف.
برأيك لح نربح الماتش اليوم ؟,والله صعبة بحس من شوف,تفjكر حنكسب ماتش انهردة ؟,ولله حسسها صعبة حنشوف,إيش تتوقع تكون نتيجة المبارة؟,الفوز إيزي بالنسبة لي.
زادو الضريبة على المعاش اليوم,الله لا يوفقهم,زادو الضريبة على المعاش انهردة,الله لا يوفقهم,إيش تتوقع سبب زيادة الضرائب؟,أظن الدولة هتستفيد كثير.
جاي لعندي بكرا ؟,ما بعرف والله بس اكيد لح خبرك عشية,جي عندي بكرا ؟,معرفش ولله بس اكيد حقلك بليل,هتجي بيتي بكرة للعشا؟,أكيد. العشا لسا قائم؟
ليش في ناس ما بيعجبها العجب؟,في ناس نيقة كتير,ليه في ناس مبيعجبهاش العجب ؟,في ناس انفة اوي,جاسم محتار لمياء مكرشة عليه ولا لأ.,ليش ما يسألها؟
شو بدك ؟,بدي استعمل الكومبيوتر,عايز ايه ؟,عايز استعمل الكومبيوتر,أنا مو فاهم ليش بعض الآباء يشتكون من أن بناتهم ما يتبعون خطاهم.,"إيوة، أم لينا بتشكي من لينا عشان بنت الجيران تزوجت من واحد كندي. لينا هتجن."
شو هالطقم الحلو يللي لابسو,شكرا حبييبي انت الحلو,ايه الطقم الحلو الي انت لابسه ده,شكرا حبييبي انت الي حلو,فين يحيى؟ ما لقيته في أي مكان.,ما وصلك خبر أنه دخل السجن؟
برأيك هو يللي سرق الذهب ؟,معقولة كتير ما بستغرب,في رأيك مين الي سرق الدهب ؟,معقول جدا مبستغربش,إيش تحتاج؟,أحتاج استخدم النت.
ينعاد عليكي يا احلى أم بالدنيا,الله يخليلي ياكو شوفك عريس,كل سنة و انت طيبة يا احلى أم في الدنيا,ربنا يخليكوا ليا واشوفك عريس,حلوة الكرافتة اللي أنت لابسها.,مشكور. بس هل شكلها حلو فعلاً؟
اوقات ما بعرف اذا لازم سلم بالإيد,ليه يعني ؟ عادة بتسلم بالإيد ؟,ساعات مبعرفش لو لازم اسلم بالإيد,ليه يعني ؟ عادة بتسلم بالإيد ؟,إيش رايك بالقضية؟,"لو سألتني، فما أظن أنه مذنب."
سامحني نسيت إنو مبارح عيد ميلادك,ما تعطل هم اصلن انا بضل إنسا اعياد الكل,سامحني نسيت إن امبارح عيد ميلادك,ما تشيلش هم اصلن انا بفضل انسا اعياد الكل,يوم أم سعيد يا أمي!,مشكور! هذول حلوين. ما كان لازم تتعب نفسك!
السلام عليكم,و عليكم السلام و رحمة الله,السلام عليكم,و عليكم السلام و رحمة الله,عندي مشكلة كبيرة لمن أقابل الناس.,إيش هي؟ ممكن أقدر أساعدك.
